SIRA NO;KOMEK KURS MERKEZLERÝ;ENLEM-BOYLAM
1;AHIRLI AÝLE SANAT ve EÐÝTÝM MERKEZÝ (ASEM) (AHIRLI);37.239168215146854, 32.12274643965916
2;AHÞAP OYUNCAK ATÖLYESÝ (MERAM);37.85627630876463, 32.458659455369464
3;AKKÝSE KOMEK KURS MERKEZÝ (AHIRLI);37.23911968691208, 32.120878997401036
4;AKÖREN KOMEK KURS MERKEZÝ (AKÖREN);37.45037342758928, 32.36786199740797
5;AKÞEHÝR AÝLE SANAT VE EÐÝTÝM MERKEZÝ (ASEM) (AKÞEHÝR);38.35443843941699, 31.429616226273858
6;AKÞEHÝR KOMEK KURS MERKEZÝ (AKÞEHÝR);38.3491168954757, 31.41805929928686
7;AKÞEMSETTÝN KOMEK KURS MERKEZÝ (SELÇUKLU);37.888873545274144, 32.454890170435746
8;ALAADDÝN KOMEK KURS MERKEZÝ (MERAM);37.87207227225104, 32.4945611839287
9;ALAKOVA KOMEK KURS MERKEZÝ (MERAM);37.773120882408755, 32.500807482076695
10;ALAVARDI AÝLE SANAT VE EÐÝTÝM MERKEZÝ (ASEM) (MERAM);37.87337847270135, 32.44556692256024
11;ARAPLAR KOMEK KURS MERKEZÝ (KARATAY);37.88944384841736, 32.508079668587165
12;BEYHEKÝM (KAZERUNÝ TEKKESÝ) KOMEK KURS MERKEZÝ (SELÇKLU);37.871375664288614, 32.488160170435236
13;BEYÞEHÝR AÝLE SANAT ve EÐÝTÝM MERKEZÝ (ASEM) (BEYÞEHÝR);37.68164280675375, 31.723273583922307
14;BOSNA HERSEK SADRETTÝN KÜTÜKÇÜ KURS MERKEZÝ;38.01077837332852, 32.53080689742676
15;BOZKIR AÝLE SANAT ve EÐÝTÝM MERKEZÝ (ASEM) (BOZKIR);37.18782394379746, 32.24210858205715
16;BOZKIR KOMEK KURS MERKEZÝ (BOZKIR);37.18959169778588, 32.2448460992479
17;BÜYÜK AYMANAS KOMEK KURS MERKEZÝ (MERAM);37.84866375160188, 32.498471239750224
18;BÜYÜK SÝNAN SANAT VE TASARIM MERKEZÝ (KARATAY);37.889939046849946, 32.51213556858708
19;ÇATALHÖYÜK KOMEK KURS MERKEZÝ (KARATAY);37.795569400566585, 32.53094581091291
20;ÇUMRA AÝLE SANAT ve EÐÝTÝM MERKEZÝ (ASEM) (ÇUMRA);37.57411050738696, 32.78245034865478
21;CÝHANBEYLÝ AÝLE SANAT ve EÐÝTÝM MERKEZÝ (ASEM) (CÝHANBEYLÝ);38.65708975774024, 32.922311797684685
22;CÝHANBEYLÝ KOMEK KURS MERKEZÝ (CÝHANBEYLÝ);38.65531184459545, 32.9201260823399
23;DOÐANHÝSAR KOMEK-ASEM KURS MERKEZÝ (DOÐANHÝSAR);38.148866,31.6798433
24;ECDAT BAHÇESÝ SERGÝ ve SATIÞ YERÝ (SELÇUKLU);37.94879610040543, 32.50132879951521
25;EMÝRGAZÝ KOMEK KURS MERKEZÝ (EMÝRGAZÝ);37.90344565196213, 33.83596653998779
26;EREÐLÝ AÝLE SANAT VE EÐÝTÝM MERKEZÝ (ASEM) (EREÐLÝ);37.50541662981621, 34.05371192113259
27;EREÐLÝ KOMEK KURS MERKEZÝ (EREÐLÝ);37.512420704840345, 34.055535265574704
28;ERTUÐRUL GAZÝ KOMEK KURS MERKEZÝ (MERAM);37.8404787932702, 32.48709167812832
29;GÖDENE KOMEK KURS MERKEZÝ (MERAM);37.74031404298414, 32.40275228600185
30;GÜNEYSINIR AÝLE SANAT VE EÐÝTÝM MERKEZÝ (ASEM) (GÜNEYSINIR);37.26792849999312, 32.72742142508569
31;HARMANCIK KOMEK KURS MERKEZÝ (MERAM);37.83681627248694, 32.4548223714986
32;HOCACÝHAN KOMEK KURS MERKEZÝ (SELÇUKLU);37.88643971039223, 32.44565649121671
33;HÜYÜK AÝLE SANAT ve EÐÝTÝM MERKEZÝ (ASEM) (HÜYÜK);37.94980027149388, 31.596466774492203
34;ILGIN AÝLE SANAT VE EÐÝTÝM MERKEZÝ (ASEM) (ILGIN);38.27947417067899, 31.91248988808208
35;KADINHANI AÝLE SANAT VE EÐÝTÝM MERKEZÝ(ASEM) (KADINHANI);38.23805503891353, 32.22403447775763
36;KARAKULAK OYUNCAK ATÖLYESÝ (KARATAY);37.84322060073935, 32.53640089913832
37;KARAPINAR AÝLE SANAT ve EÐÝTÝM MERKEZÝ (ASEM) (KARAPINAR);37.716155171777565, 33.55331394393117
38;KARAPINAR KURS MERKEZÝ (KARAPINAR);37.716951969911044, 33.5485589976528
39;KARATAY AÝLE SANAT VE EÐÝTÝM MERKEZÝ (ASEM) (KARATAY);37.89840259111792, 32.52070874814612
40;KARATAY KOMEK KURS MERKEZÝ (KARATAY);37.874543049284384, 32.5394153229602
41;KARKENT KOMEK KURS MERKEZÝ (KARATAY);37.897640085979084, 32.5256646258564
42;KARÞEHÝR KOMEK KURS MERKEZÝ (KARATAY);37.871029358901225, 32.54412321853154
43;KÜLTÜR PARK SATIÞ ve SERGÝ MERKEZÝ (SELÇUKLU);37.87488791695926, 32.49048025085652
44;KULU AÝLE SANAT ve EÐÝTÝM MERKEZÝ (ASEM) (KULU);39.092959402632225, 33.07747674762795
45;LADÝK KOMEK KURS MERKEZÝ (LADÝK);38.19984300927534, 32.380772570550945
46;MAHMUDÝYE (ALÝ GAV) GELENEKLÝ SANATLAR MERKEZÝ (SELÇUKLU);37.8764323015473, 32.49257591076754
47;MENGENE AÝLE SANAT VE EÐÝTÝM MERKEZÝ (ASEM) (KARATAY);37.85999217384177, 32.508398297660435
48;MERAM AÝLE SANAT VE EÐÝTÝM MERKEZÝ (ASEM) (MERAM);37.85658672293061, 32.43119850571794
49;MÜMÝNE HATUN AÝLE SANAT VE EÐÝTÝM MERKEZÝ (ASEM) (SELÇUKLU);37.931944184230304, 32.50037602710729
50;OSMANCIK KOMEK KURS MERKEZÝ (KADINHANI);38.180728944541656, 32.1490576255714
51;SAMANPAZARI MEFRUÞAT ATÖLYESÝ (KARATAY);37.867851956416594, 32.51355534453914
52;SANCAK KOMEK KURS MERKEZÝ (SELÇUKLU);37.958871902107234, 32.52444451902455
53;SARAYÖNÜ AÝLE SANAT ve EÐÝTÝM MERKEZÝ (ASEM) (SARAYÖNÜ);38.262844489886646, 32.395113251309546
54;SELÇUKLU AÝLE SANAT VE EÐÝTÝM MERKEZÝ (ASEM) (SELÇUKLU);37.89561205845718, 32.47725402257339
55;SEYDÝÞEHÝR AÝLE SANAT ve EÐÝTÝM MERKEZÝ (ASEM) (SEYDÝÞEHÝR);37.4272488,31.8515085
56;SIZMA KOMEK HALI VE KÝLÝM ATÖLYESÝ (SELÇUKLU);38.091960781720324, 32.40697726313863
57;TUZLUKÇU AÝLE SANAT ve EÐÝTÝM MERKEZÝ (ASEM) (TUZLUKÇU);38.47575605628998, 31.627481871297764
58;YALIHÜYÜK KOMEK KURS MERKEZÝ (YALIHÜYÜK);37.29759114926556, 32.08602337979397
59;ÝÇERÝ ÇUMRA KOMEK KURS MERKEZÝ (ÝÇERÝ ÇUMRA);37.579992172147875, 32.65992432320758
60;YENÝCEOBA KOMEK KURS MERKEZÝ (CÝHANBEYLÝ);38.87222631200984, 32.832071345239754
61;YUNAK KOMEK KURS MERKEZÝ (YUNAK);38.81129305071074, 31.73707136387894
